A1,A2,A3,A4,A5,A6,E,xa1,ya1,za1,xa2,ya2,za2,xa3,ya3,za3,xn1,yn1,zn1,xn2,yn2,zn2,xn3,yn3,zn3,dx1,dy1,dz1,err1,dx2,dy2,dz2,err2,dx3,dy3,dz3,err3
25.3,-69.4,90.1,-175,10.6,22.1,0,3569.589398,1667.628123,1664.440723,3280.233382,1689.938493,1807.605333,3468.102856,1923.943257,1495.405198,3569.53514,1667.530478,1664.575065,3280.188765,1689.935199,1807.709686,3468.089557,1923.82185,1495.449879,0.054257908,0.097644956,-0.134341613,0.174717278,0.044616678,0.003293972,-0.1043528,0.113538562,0.013298786,0.121407154,-0.044680754,0.130049701
18.3,-90.9,57.1,-174.1,-68.7,67.3,0,2782.271457,2678.499159,1055.740549,2640.342906,2935.808164,1191.244186,2768.136845,2855.375895,785.391974,2782.429552,2678.873801,1055.891713,2640.515693,2936.218455,1191.335976,2768.2456,2855.676766,785.4870917,-0.158094953,-0.374641583,-0.151164204,0.433821331,-0.17278655,-0.410290711,-0.091790233,0.454553744,-0.108754909,-0.300870679,-0.095117696,0.333763646
16.1,-111.7,96.6,-171.9,-42.7,145.1,0,2655.783241,2264.947318,900.779701,2628.146927,2543.975561,739.256619,2433.990944,2160.060506,690.103921,2655.858398,2265.031841,900.8724461,2628.252831,2544.055454,739.3334984,2434.038356,2160.147721,690.2200085,-0.075156902,-0.084523103,-0.09274509,0.146268133,-0.105904194,-0.079893003,-0.07687945,0.153326579,-0.047411855,-0.08721496,-0.116087466,0.152743684
23.6,-97.2,52.8,-170.8,-71.2,82.5,0,2405.549622,3060.262328,1273.082976,2262.40702,3344.749822,1330.361986,2389.89242,3152.919729,963.65614,2405.628443,3060.496241,1273.170121,2262.473904,3345.000009,1330.40193,2389.934169,3153.115621,963.7280969,-0.078820647,-0.233912535,-0.087144619,0.261766983,-0.06688442,-0.250187224,-0.039943721,0.262035634,-0.04174871,-0.195891525,-0.071956928,0.212824444
25.3,-66.9,96,-170.6,23.1,100.8,0,3576.143678,1517.901607,1596.276873,3394.299842,1784.807931,1576.171887,3465.213257,1460.642015,1297.949388,3576.13899,1517.827856,1596.307358,3394.31618,1784.747966,1576.165696,3465.192972,1460.531067,1297.999854,0.004688263,0.073750752,-0.03048482,0.079940462,-0.0163379,0.059965294,0.00619092,0.062458714,0.020284824,0.110948105,-0.050465509,0.12356263
21.1,-68,55.5,-168.8,-34.8,60.8,0,3599.966282,2309.149017,1549.969015,3400.263267,2541.942609,1653.095165,3568.167854,2455.589579,1263.400737,3600.028657,2309.267186,1550.048782,3400.349648,2542.091733,1653.161729,3568.2295,2455.680692,1263.463428,-0.062374555,-0.118168966,-0.07976709,0.155619017,-0.086381419,-0.149124336,-0.066564047,0.184744661,-0.061646264,-0.091112668,-0.062691243,0.126617424
14.1,-104.1,39.1,-168.5,-88.8,152.4,0,1957.123919,3405.037037,768.211406,1927.492584,3668.716932,583.002532,1749.967838,3274.611161,556.900999,1957.172872,3405.110442,768.1797268,1927.482255,3668.742643,582.9028342,1750.015613,3274.602194,556.9152016,-0.048952684,-0.073405293,0.031679163,0.093745783,0.010328613,-0.025711083,0.09969775,0.103476478,-0.047775114,0.008966739,-0.014202647,0.050641674
24.3,-87.6,120,-168.1,23.2,358.3,0,3114.2041,1471.677125,1286.747801,2831.030197,1415.187017,1432.802762,2975.000767,1750.094746,1199.084257,3114.260412,1471.546778,1286.858081,2831.086574,1415.156961,1432.952247,2975.086505,1749.942785,1199.074741,-0.056312076,0.13034674,-0.110280091,0.179786042,-0.056377316,0.030056088,-0.149485473,0.162565915,-0.085737729,0.151961023,0.009516284,0.174738863
24.7,-107.3,117.2,-155.9,-11.7,131.3,0,2703.06611,1753.28359,1367.204649,2672.080649,2013.678784,1177.617605,2515.671655,1611.191582,1145.244741,2703.160949,1753.279402,1367.335111,2672.214844,2013.681695,1177.745844,2515.764941,1611.200938,1145.353503,-0.094838831,0.004187671,-0.13046241,0.161345532,-0.134194848,-0.00291109,-0.128238889,0.185639285,-0.093286163,-0.009356367,-0.108762413,0.143593566
40.2,-33.9,88.3,-153.3,68.2,41.1,0,3375.455652,861.635227,2118.972075,3103.032444,934.286558,2277.807372,3210.656807,961.39047,1859.250173,3375.424574,861.6061006,2118.961395,3102.989771,934.2326993,2277.75476,3210.616164,961.2767095,1859.184857,0.031077725,0.029126427,0.010679743,0.043911624,0.04267264,0.05385868,0.052612268,0.086543413,0.040642666,0.113760452,0.065316149,0.137329771
