A1,A2,A3,A4,A5,A6,E,xa1,ya1,za1,xa2,ya2,za2,xa3,ya3,za3,xn1,yn1,zn1,xn2,yn2,zn2,xn3,yn3,zn3,dx1,dy1,dz1,err1,dx2,dy2,dz2,err2,dx3,dy3,dz3,err3
-123.6,-85.3,112,-152.3,9.2,38.4,500,2259.9428,1211.6205,2634.2395,2189.7697,1579.7178,2847.1419,2532.2276,1756.955,2654.2718,2259.814612,1211.563152,2634.339874,2189.873394,1579.764218,2847.150742,2532.391389,1756.762262,2654.164037,0.12818831,0.057348119,-0.100373916,0.1726151,-0.103693702,-0.046417932,-0.008841675,0.113952549,-0.163788639,0.192737538,0.107763384,0.274931671
-149,-112.3,72.5,-151.7,-76.8,34.4,500,1905.0266,2646.7188,1416.2571,1793.7656,2965.3349,1684.2912,2176.3166,3153.4969,1619.9981,1905.10489,2646.753858,1416.354385,1793.97019,2965.479543,1684.33861,2176.586459,3153.491224,1619.940149,-0.078289916,-0.03505815,-0.097284911,0.129702501,-0.204590352,-0.144643277,-0.04740985,0.255003105,-0.269858947,0.005676161,0.057950955,0.276069527
-149.4,-63.7,10,-148.9,-99.2,142.4,500,2381.4893,3063.0044,2071.0484,2799.0135,3146.6822,2004.4147,2819.0751,2822.515,1720.8424,2381.620337,3063.026528,2071.061404,2799.163457,3146.470994,2004.374784,2819.034402,2822.226069,1720.894458,-0.13103721,-0.022127853,-0.013004325,0.133527168,-0.149957131,0.211206435,0.039916371,0.262085131,0.040698409,0.288930543,-0.05205847,0.296390457
-149.2,-73,63.6,-139.5,-60.9,18.7,500,2821.1862,1891.2526,2096.6471,2742.5268,2222.8221,2360.4979,3156.2564,2341.5221,2335.2456,2821.173155,1891.249406,2096.894486,2742.616243,2222.90572,2360.687459,3156.369003,2341.476884,2335.374627,0.013044649,0.00319388,-0.247385906,0.247750177,-0.089443017,-0.083619697,-0.189558963,0.225665477,-0.112602747,0.045216319,-0.129027381,0.177121312
-139.2,-94,102.4,-119.5,-26.9,61.2,500,2264.4436,1874.1573,2436.3399,2555.8186,2191.7319,2435.7171,2826.8001,1943.139,2210.6189,2264.517791,1873.982486,2436.448753,2555.93049,2191.522111,2435.825223,2826.885567,1942.875014,2210.770989,-0.074190726,0.174813844,-0.108853283,0.218890797,-0.111890172,0.209788882,-0.108123277,0.261192321,-0.085467497,0.263986415,-0.152088841,0.316424613
-89.5,-60.4,70.1,-68.4,68.2,313.5,500,1363.4596,1396.7592,3164.2167,1362.3347,1660.9397,3504.7249,1582.5414,1954.362,3278.2191,1363.54028,1396.781293,3164.336433,1362.35679,1660.978523,3504.855116,1582.652931,1954.381567,3278.409973,-0.080680019,-0.022093398,-0.119732516,0.146059095,-0.022090464,-0.038823466,-0.130216213,0.137664491,-0.111530648,-0.019567333,-0.190872803,0.221933307
-75,-82.5,64.1,-67.9,80,169.9,500,995.3961,2877.1525,2617.6656,838.1954,2476.1117,2631.3782,638.3709,2566.7513,3002.4913,995.5805293,2877.204704,2617.660291,838.3164344,2476.161531,2631.409783,638.4703658,2566.889438,3002.517154,-0.184429334,-0.0522043,0.005309022,0.191748935,-0.121034403,-0.049830661,-0.031582625,0.134647257,-0.099465768,-0.138137649,-0.025854227,0.172174011
-135.5,-87.2,102.9,-60.2,-17.4,140.3,500,2809.822,2231.3974,2481.1073,2829.4367,1806.4818,2411.8037,2457.1783,1754.5161,2623.0213,2810.069313,2231.274669,2481.056649,2829.619189,1806.340626,2411.763964,2457.357903,1754.429642,2622.99341,-0.247312516,0.12273085,0.050650511,0.2806988,-0.182488755,0.14117409,0.039736009,0.234117962,-0.179602654,0.086458073,0.027890248,0.201270906
-90.2,-44.7,22.7,-56.5,70.7,11.5,500,1252.968,2314.2382,3858.3139,1509.7067,2595.8802,3657.0372,1577.6532,2309.3733,3342.0734,1253.114796,2314.277781,3858.349319,1509.878643,2595.937322,3657.114618,1577.85513,2309.455162,3342.157006,-0.146796475,-0.039581297,-0.035419137,0.156110215,-0.171942926,-0.057122195,-0.077417558,0.19702993,-0.201930059,-0.081862252,-0.083605538,0.233381796
-133.7,-85,105.3,-42.7,-14.5,121.3,500,2823.2361,2052.2455,2506.7599,2839.0189,1632.1852,2411.6864,2479.0643,1566.683,2639.7896,2823.254728,2052.199267,2506.830306,2839.089466,1632.135325,2411.708604,2479.108829,1566.580523,2639.75944,-0.018628348,0.046232531,-0.070406188,0.086264092,-0.070565713,0.049874616,-0.022204364,0.089219005,-0.044528902,0.102476749,0.030160193,0.11573221
-119.8,-115.9,118.7,-24.7,14.6,286.7,500,1777.549,1799.0091,2296.3636,1792.7867,2207.9345,2431.5843,2147.8705,2273.0186,2195.8453,1777.648005,1798.837724,2296.231673,1792.661192,2207.731292,2431.632115,2147.791236,2273.060427,2196.036636,-0.099004762,0.171375753,0.13192698,0.237857772,0.125508354,0.203207596,-0.047815371,0.243581575,0.079264464,-0.04182701,-0.191335923,0.211286037
-124.7,-95.9,61,-1.7,61.6,97.6,500,2307.1359,3124.8221,2192.7533,2156.2411,2742.0841,2064.3419,1822.865,2782.4464,2334.7363,2307.100336,3124.815982,2192.947865,2156.331661,2742.066665,2064.402348,1822.814715,2782.2993,2334.657946,0.035563819,0.006117551,-0.194565381,0.197883545,-0.090560562,0.017435236,-0.060447675,0.110268419,0.050285281,0.147100252,0.078354463,0.174087666
-134.2,-73.6,54.9,15.6,52.1,153.8,500,2889.9418,2295.1473,2441.178,2503.0307,2239.2545,2622.6143,2556.4871,2602.1882,2849.1479,2890.152994,2295.276566,2441.182424,2503.199002,2239.215973,2622.499686,2556.424089,2602.137499,2849.096053,-0.211193933,-0.129265545,-0.0044244,0.247653051,-0.168302477,0.038526601,0.114614056,0.207235144,0.063011209,0.050700862,0.051847142,0.096068288
-144.4,-72.9,47.5,36.7,59.7,17,500,2887.6185,2976.2716,2494.5399,3081.4921,2660.9502,2273.7822,2720.7176,2425.6346,2292.3455,2887.54567,2976.080878,2494.55127,3081.607958,2660.867863,2273.793869,2720.88874,2425.42541,2292.221067,0.072829752,0.190721827,-0.011370075,0.204470699,-0.115858176,0.082337482,-0.011669385,0.142613998,-0.171140325,0.209189907,0.124433108,0.297544999
-87,-49.8,63.8,105.7,-77.4,93.5,500,1403.3741,1344.5496,3046.1689,1298.613,1291.2323,3460.8074,1417.3568,1697.3964,3543.3735,1403.361551,1344.56764,3046.220738,1298.537832,1291.239874,3460.853544,1417.339079,1697.387577,3543.474021,0.012548568,-0.01803992,-0.051838429,0.05630389,0.075167662,-0.007573662,-0.04614394,0.088525708,0.017720769,0.008822845,-0.100521232,0.102451873
-109.3,-55.8,37.1,142,-71.8,31.8,500,2318.2743,2042.3315,2809.4411,2089.7087,1950.5185,3163.093,2277.1536,2279.098,3369.9448,2318.317355,2042.169939,2809.599908,2089.716865,1950.52711,3163.289895,2277.243844,2279.127525,3370.042961,-0.043054925,0.161560821,-0.158808166,0.230598481,-0.008164971,-0.008609661,-0.196895136,0.197252345,-0.090244119,-0.029525114,-0.098160752,0.13656964
-118,-61.2,38.2,162.2,-55.8,309.5,500,2698.4998,2553.2829,2972.6409,2447.184,2205.2857,2934.205,2215.3294,2334.7961,3273.8618,2698.667724,2553.075488,2972.585968,2447.249754,2205.127658,2934.195913,2215.436419,2334.740948,3273.833324,-0.167923648,0.207411819,0.054932253,0.272462046,-0.065753634,0.158041512,0.009086872,0.171415377,-0.10701869,0.055152137,0.02847598,0.123715964
-126.8,-110.5,107.5,175,-27.8,334.7,500,2381.3706,2039.7847,1971.2511,2036.4019,1839.4699,2134.3694,1964.0097,2175.4127,2394.7446,2381.395344,2039.655708,1971.264582,2036.361432,1839.510064,2134.498799,1964.139881,2175.565002,2394.771849,-0.024743975,0.128992107,-0.013482046,0.132034062,0.040467765,-0.040164097,-0.12939867,0.141403007,-0.130180575,-0.152302237,-0.027248821,0.202201512
-133,-110.8,82.8,-165.9,-49.6,272.2,1000,2801.1162,2969.9668,1920.8833,2627.3913,2580.7399,1857.2549,2294.0769,2688.0243,2108.8155,2801.274934,2969.751778,1920.868331,2627.353235,2580.56589,1857.323356,2294.097591,2688.048687,2108.875905,-0.158734382,0.215022413,0.014969176,0.267685111,0.038065072,0.174010129,-0.068455725,0.190826258,-0.020691232,-0.024386845,-0.060404617,0.068348834
-149.5,-87.3,107.4,-96.3,-36.5,216.2,1000,3532.5216,1652.9036,2025.1312,3216.8614,1359.4839,2031.0726,2960.0645,1639.3032,2235.151,3532.516099,1652.876505,2025.330997,3216.884878,1359.456068,2031.261106,2960.090681,1639.319473,2235.284171,0.005501144,0.027095265,-0.19979734,0.201701247,-0.023477638,0.027831992,-0.188506282,0.191990723,-0.026181329,-0.01627321,-0.13317117,0.136692502
-75.1,-58.9,40.2,-67.5,90.8,141.7,1000,1390.4541,2697.879,3053.0048,1301.0456,2318.2715,2869.5521,1102.9609,2190.1359,3230.4168,1390.686933,2697.941847,3052.999579,1301.236212,2318.303794,2869.618227,1103.102916,2190.274138,3230.511343,-0.232833178,-0.062847006,0.005221322,0.241222505,-0.190611637,-0.03229402,-0.066126842,0.204324397,-0.142016435,-0.138237652,-0.094543177,0.219583079
-90.7,-114.2,111.8,-63.4,50.2,137.7,1000,1934.17,2402.1079,2352.4094,1954.4327,2025.417,2143.9699,1644.8514,1867.2699,2398.9967,1934.289217,2402.088549,2352.438824,1954.521787,2025.371551,2144.041942,1644.911335,1867.27668,2399.070922,-0.119216553,0.019350571,-0.029423543,0.124309195,-0.089087094,0.045449064,-0.07204174,0.1232564,-0.059935192,-0.006780089,-0.074222315,0.095640728
